link,image,price,address,type,area,bathroom,bedroom
https://remax.pt/imoveis/venda-apartamento-t1-almada-charneca-de-caparica-e-sobreda/124591021-60,https://i.maxwork.pt/l-search/listings/12459/6469554/edad9fad-2b17-4e7b-99f3-07a589646c49.jpg,179 000 €,"Almada, Charneca de Caparica e Sobreda",Apartamento,"70 m
2",1,1
https://remax.pt/imoveis/venda-apartamento-t3-sesimbra-quinta-do-conde/125111003-163,https://i.maxwork.pt/l-search/listings/12511/6468162/e1e00d6e-bbd2-4c01-a551-6b83a0d5051b.jpg,179 000 €,"Sesimbra, Quinta do Conde",Apartamento,"146 m
2",2,3
https://remax.pt/imoveis/venda-terreno-sintra-sao-joao-das-lampas-e-terrugem/125541022-24,https://i.maxwork.pt/l-search/listings/12554/6469019/cd7ee811-86c4-4245-be9b-1180407c788d.jpg,20 000 €,"Sintra, São João das Lampas e Terrugem",Terreno,"-- m
2",0,--
https://remax.pt/imoveis/venda-apartamento-t2-albufeira-albufeira-e-olhos-de-agua/120141048-2727,https://i.maxwork.pt/l-search/listings/12014/6469483/688b01a7-b463-4ec0-8d01-ac106753ba57.jpg,180 000 €,"Albufeira, Albufeira e Olhos de Água",Apartamento,"69 m
2",1,2
https://remax.pt/imoveis/venda-moradia-t3-guimaraes-airao-santa-maria-airao-sao-joao-e-vermil/120241178-149,https://i.maxwork.pt/l-search/listings/12024/6469290/671d4261-e36c-45ae-85df-81ef5390cf9b.jpg,319 000 €,"Guimarães, Airão Santa Maria, Airão São João e Vermil",Moradia,"339 m
2",0,3
https://remax.pt/imoveis/venda-apartamento-t2-sintra-rio-de-mouro/120261560-53,https://i.maxwork.pt/l-search/listings/12026/6469361/923267d6-a5b1-4ed8-870d-c43b3b815a20.jpg,119 000 €,"Sintra, Rio de Mouro",Apartamento,"65 m
2",1,2
https://remax.pt/imoveis/venda-moradia-t9-cascais-cascais-e-estoril/120261830-4,https://i.maxwork.pt/l-search/listings/12026/6469308/52077142-a803-4a94-bfd4-36f39e232d76.jpg,4 750 000 €,"Cascais, Cascais e Estoril",Moradia,"448 m
2",3,9
https://remax.pt/imoveis/venda-moradia-t5-sintra-sintra-santa-maria-e-sao-miguel-sao-martinho-e-sao-pedro-de-penaferrim/120261830-5,https://i.maxwork.pt/l-search/listings/12026/6469325/a33e60f9-5314-4fe4-9253-9f1ca8eefdf1.jpg,12 000 000 €,"Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",Moradia,"513 m
2",7,5
https://remax.pt/imoveis/venda-apartamento-t2-almada-almada-cova-da-piedade-pragal-e-cacilhas/120401274-136,https://i.maxwork.pt/l-search/listings/12040/6469414/371337a3-ec55-4541-8c63-f8b0c942b243.jpg,189 500 €,"Almada, Almada, Cova da Piedade, Pragal e Cacilhas",Apartamento,"71 m
2",1,2
https://remax.pt/imoveis/venda-moradia-t6-cartaxo-pontevel/120431390-60,https://i.maxwork.pt/l-search/listings/12043/6469279/2a07cc9c-7923-4097-8373-555799af80a9.jpg,350 000 €,"Cartaxo, Pontével",Moradia,"271 m
2",4,6
https://remax.pt/imoveis/venda-terreno-vila-do-bispo-sagres/120531242-22,https://i.maxwork.pt/l-search/listings/12053/6468039/be1c7412-fa84-4a51-a23e-dac2230f8a14.jpg,85 000 €,"Vila do Bispo, Sagres",Terreno,"32360 m
2",0,--
https://remax.pt/imoveis/venda-moradia-t4-loures-santo-antonio-dos-cavaleiros-e-frielas/120531354-62,https://i.maxwork.pt/l-search/listings/12053/6468797/c07f75f4-ace2-4854-a4b8-ffcaf97fd2b0.jpg,800 000 €,"Loures, Santo António dos Cavaleiros e Frielas",Moradia,"220 m
2",4,4
https://remax.pt/imoveis/venda-apartamento-t2-lisboa-parque-das-nacoes/120611192-1016,https://i.maxwork.pt/l-search/listings/12061/6469063/189cd757-1f1d-41cd-a3b3-ac273c46059c.jpg,600 000 €,"Lisboa, Parque das Nações",Apartamento,"107 m
2",2,2
https://remax.pt/imoveis/venda-apartamento-t2-amadora-aguas-livres/120612458-3,https://i.maxwork.pt/l-search/listings/12061/6469470/e31716a0-d41a-49c7-86d3-37b732111357.jpg,299 000 €,"Amadora, Águas Livres",Apartamento,"129 m
2",2,2
https://remax.pt/imoveis/venda-apartamento-t2-vila-franca-de-xira-alverca-do-ribatejo-e-sobralinho/120612478-1,https://i.maxwork.pt/l-search/listings/12061/6466484/c99d3e58-3c88-4916-bdf6-1234d6692626.jpg,155 000 €,"Vila Franca de Xira, Alverca do Ribatejo e Sobralinho",Apartamento,"84 m
2",1,2
https://remax.pt/imoveis/venda-terreno-vila-franca-de-xira-vila-franca-de-xira/120681271-35,https://i.maxwork.pt/l-search/listings/12068/6469339/d6bb2b52-e4c7-45ae-bd82-9ec3e0520d0c.jpg,35 000 €,"Vila Franca de Xira, Vila Franca de Xira",Terreno,"-- m
2",0,--
https://remax.pt/imoveis/venda-moradia-t2-obidos-santa-maria-sao-pedro-e-sobral-da-lagoa/120691116-732,https://i.maxwork.pt/l-search/listings/12069/6469391/264708e4-f05a-4c33-a2f1-76b1aeecdef5.jpg,175 000 €,"Óbidos, Santa Maria, São Pedro e Sobral da Lagoa",Moradia,"50 m
2",2,2
https://remax.pt/imoveis/venda-moradia-t3-obidos-santa-maria-sao-pedro-e-sobral-da-lagoa/120691116-733,https://i.maxwork.pt/l-search/listings/12069/6469412/189ad95b-4f99-4554-a1bb-44aae089b9f1.jpg,255 000 €,"Óbidos, Santa Maria, São Pedro e Sobral da Lagoa",Moradia,"177 m
2",3,3
https://remax.pt/imoveis/venda-terreno-bombarral-bombarral-e-vale-covo/120691224-4,https://i.maxwork.pt/l-search/listings/12069/6469273/82242508-8b4e-4c4b-89cb-29dcb693bce8.jpg,39 800 €,"Bombarral, Bombarral e Vale Covo",Terreno,"24840 m
2",0,--
https://remax.pt/imoveis/venda-terreno-bombarral-carvalhal/120691224-5,https://i.maxwork.pt/l-search/listings/12069/6469305/8ffe499f-5934-4ad3-9bf0-1e00bb4f7f8a.jpg,85 000 €,"Bombarral, Carvalhal",Terreno,"48600 m
2",0,--
